iter	Passed	Remaining
816	3634	63094
817	3641	63130
818	3645	63123
819	3649	63112
820	3653	63103
821	3659	63125
822	3664	63121
823	3668	63116
824	3674	63141
825	3679	63140
826	3684	63137
827	3689	63144
828	3694	63161
829	3699	63158
830	3704	63162
831	3710	63189
832	3715	63182
833	3719	63169
834	3724	63190
835	3729	63188
836	3734	63183
837	3740	63211
838	3744	63208
839	3749	63207
840	3754	63206
841	3759	63217
842	3763	63208
843	3768	63202
844	3774	63224
845	3778	63219
846	3783	63218
847	3789	63247
848	3794	63245
849	3799	63242
850	3803	63235
851	3808	63245
852	3813	63240
853	3817	63227
854	3822	63233
855	3826	63226
856	3830	63214
857	3834	63205
858	3839	63208
859	3843	63200
860	3848	63192
861	3852	63186
862	3856	63182
863	3861	63172
864	3865	63160
865	3869	63152
866	3874	63165
867	3880	63172
868	3884	63170
869	3889	63175
870	3893	63165
871	3897	63154
872	3901	63142
873	3907	63155
874	3911	63147
875	3916	63154
876	3923	63176
877	3928	63190
878	3934	63200
879	3939	63217
880	3944	63207
881	3948	63199
882	3952	63187
883	3956	63186
884	3961	63174
885	3965	63173
886	3970	63172
887	3975	63175
888	3979	63172
889	3984	63166
890	3989	63178
891	3994	63170
892	3998	63159
893	4002	63149
894	4007	63156
895	4012	63156
896	4016	63151
897	4021	63159
898	4025	63147
899	4030	63137
900	4034	63129
901	4039	63131
902	4043	63122
903	4047	63109
904	4051	63100
905	4056	63097
906	4060	63089
907	4064	63078
908	4068	63069
909	4073	63068
910	4077	63061
911	4081	63052
912	4085	63042
913	4090	63046
914	4095	63039
915	4099	63031
916	4104	63033
917	4108	63024
918	4112	63015
919	4116	63006
920	4122	63026
921	4127	63019
922	4131	63011
923	4136	63020
924	4142	63034
925	4147	63039
926	4152	63043
927	4157	63044
928	4161	63035
929	4166	63033
930	4172	63049
931	4176	63045
932	4181	63042
933	4185	63031
934	4191	63055
935	4195	63047
936	4200	63035
937	4205	63043
938	4209	63031
939	4213	63024
940	4217	63014
941	4222	63016
942	4226	63008
943	4230	62998
944	4235	62992
945	4240	62994
946	4244	62986
947	4248	62977
948	4253	62976
949	4257	62969
950	4262	62962
951	4266	62953
952	4271	62961
953	4275	62955
954	4280	62945
955	4284	62936
956	4289	62942
957	4293	62934
958	4297	62924
959	4302	62929
960	4307	62928
961	4311	62917
962	4315	62910
963	4321	62924
964	4325	62916
965	4330	62908
966	4334	62896
967	4339	62906
968	4343	62894
969	4347	62887
970	4352	62885
971	4356	62879
972	4361	62870
973	4365	62862
974	4370	62862
975	4374	62853
976	4378	62842
977	4382	62831
978	4387	62835
979	4391	62824
980	4395	62818
981	4400	62809
982	4405	62815
983	4409	62808
984	4413	62798
985	4417	62791
986	4423	62804
987	4427	62795
988	4431	62783
989	4437	62792
990	4441	62784
991	4445	62775
992	4449	62769
993	4456	62789
994	4461	62790
995	4465	62789
996	4471	62805
997	4475	62796
998	4479	62786
999	4484	62783
1000	4490	62798
1001	4494	62787
1002	4498	62778
1003	4504	62796
1004	4508	62786
1005	4513	62779
1006	4518	62786
1007	4523	62790
1008	4527	62785
1009	4532	62777
1010	4538	62794
1011	4542	62784
1012	4546	62776
1013	4552	62786
1014	4556	62779
1015	4561	62782
1016	4565	62777
1017	4572	62797
1018	4577	62803
1019	4583	62816
1020	4589	62834
1021	4593	62826
1022	4597	62816
1023	4603	62832
1024	4608	62829
1025	4612	62820
1026	4616	62811
1027	4622	62830
1028	4627	62823
1029	4631	62813
1030	4637	62831
1031	4641	62823
